,query_id,query
0,1,What problems and concerns are there in making up descriptive titles? What difficulties are involved in automatically retrieving articles from approximate titles? What is the usual relevance of the content of articles to their titles?
1,2,"How can actually pertinent data, as opposed to references or entire articles themselves, be retrieved automatically in response to information requests?"
2,3,What is information science?  Give definitions where possible.
3,4,Image recognition and any other methods of automatically transforming printed text into computer-ready form.
4,5,What special training will ordinary researchers and businessmen need for proper information management and unobstructed use of information retrieval systems? What problems are they likely to encounter?
5,6,"What possibilities are there for verbal communication between computers and humans, that is, communication via the spoken word?"
6,7,"Describe presently working and planned systems for publishing and printing original papers by computer, and then saving the byproduct, articles coded in data-processing form, for further use in retrieval."
7,8,Describe information retrieval and indexing in other languages. What bearing does it have on the science in general?
8,9,What possibilities are there for automatic grammatical and contextual analysis of articles for inclusion in an information retrieval system?
9,10,"The use of abstract mathematics in information retrieval, e.g. group theory."
10,11,"What is the need for information consolidation, evaluation, and retrieval in scientific research?"
11,12,"Give methods for high speed publication, printing, and distribution of scientific journals."
12,13,What criteria have been developed for the objective evaluation of information retrieval and dissemination systems?
13,14,What future is there for automatic medical diagnosis?
14,15,"How much do information retrieval and dissemination systems, as well as automated libraries, cost? Are they worth it to the researcher and to industry?"
15,16,What systems incorporate multiprogramming or remote stations in information retrieval?  What will be the extent of their use in the future?
16,17,"Means of obtaining large volume, high speed, customer usable information retrieval output."
17,18,"What methods are there for encoding, automatically matching, and automatically drawing structures extended in two dimensions, like the structural formulas for chemical compounds?"
18,19,Techniques of machine matching and machine searching systems. Coding and matching methods.
19,20,Testing automated information systems.
